Venue,Cluster_Assignment
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",1
Mainpower Oval,-1
"Mainpower Oval, Rangiora",1
Malahide,-1
"Malahide, Dublin",1
"Malek Cricket Ground, Ajman",1
Mangaung Oval,-1
"Mangaung Oval, Bloemfontein",-1
Mannofield Park,-1
"Mannofield Park, Aberdeen",-1
Manuka Oval,1
"Manuka Oval, Canberra",1
"Maple Leaf North-East Ground, King City",-1
Maple Leaf North-West Ground,1
"Maple Leaf North-West Ground, King City",-1
Maple Leaf South-West Ground,1
"Mardyke, Cork",1
"Marina Ground, Corfu",1
Marrara Cricket Ground,-1
"Marrara Cricket Ground, Darwin",-1
Marsa Sports Club,1
McLean Park,-1
"McLean Park, Napier",-1
"Meersen, Gent",1
Melbourne Cricket Ground,-1
Mercantile Cricket Association Ground,-1
Merchant Taylors' School Ground,1
"Merchant Taylors' School Ground, Northwood",1
Merrion Cricket Club Ground,1
"Merrion Cricket Club Ground, Dublin",1
"Millfield School, Street",-1
"Mission Road Ground, Mong Kok",-1
"Mission Road Ground, Mong Kok, Hong Kong",1
"Mitchells and Butlers' Ground, Birmingham",-1
"Mladost Cricket Ground, Zagreb",1
Moara Vlasiei Cricket Ground,1
"Moara Vlasiei Cricket Ground, Ilfov County",1
Molyneux Park,-1
"Molyneux Park, Alexandra",-1
Mombasa Sports Club Ground,-1
"Moosa Cricket Stadium, Pearland",-1
Morodok Techo National Stadium,1
Moses Mabhida Stadium,1
Motibaug Cricket Ground,1
Mulpani Cricket Ground,1
Multan Cricket Stadium,-1
Myreside,1
Nahar Singh Stadium,-1
"Nahar Singh Stadium, Faridabad",1
Narayanganj Osmani Stadium,-1
Narendra Modi Stadium,1
"Narendra Modi Stadium Ground 'A', Motera",1
"Narendra Modi Stadium, Ahmedabad",-1
"Nassau County International Cricket Stadium, New York",1
National Cricket Stadium,-1
"National Cricket Stadium, Grenada",-1
"National Cricket Stadium, St George's",-1
"National Cricket Stadium, St George's, Grenada",1
"National Sports Academy, Sofia",1
National Stadium,-1
"National Stadium, Hamilton",1
"National Stadium, Karachi",-1
Nehru Stadium,-1
"Nehru Stadium, Fatorda",-1
"Nehru Stadium, Poona",-1
Nelson Park,-1
"Nelson Park, Napier",-1
Nevill Ground,1
"Nevill Ground, Tunbridge Wells",-1
"New Close County Cricket Ground, Newport, Isle-of-Wight",-1
"New County Ground, Hove, Brighton",-1
New Strabane Park,-1
New Wanderers Stadium,-1
"New Wanderers Stadium, Johannesburg",1
New Williamfield No1 Oval,1
Newlands,-1
"Newlands, Cape Town",1
"Niaz Stadium, Hyderabad",-1
Nondescripts Cricket Club Ground,-1
North Dalton Park,-1
"North Dalton Park, Wollongong",1
North Marine Road Ground,-1
"North Marine Road Ground, Scarborough",1
North Sydney Oval,1
North Sydney Oval No.2,-1
"North Sydney Oval, Sydney",1
"North West Cricket Stadium, Potchefstroom",1
North-West University No1 Ground,-1
Nuriootpa Centennial Park,-1
OUTsurance Oval,-1
Oak Hill Cricket Club,1
Oakham School Ground,1
"Observatory Lane, Rathmines",-1
"Observatory Lane, Rathmines, Dublin",-1
Old Deer Park,1
"Old Edwardians Cricket Club Ground, Solihull",-1
Old Hararians,-1
Old Hararians Sports Club,-1
"Old Hararians, Harare",-1
Old Trafford,-1
"Old Trafford, Manchester",-1
Ovale di Rastignano,-1
P Sara Oval,-1
"P Sara Oval, Colombo",-1
P Saravanamuttu Stadium,1
Pallekele International Cricket Stadium,-1
"Park 25 No 2, Adelaide",-1
"Pembroke Cricket Club, Sandymount",-1
"Pembroke Cricket Club, Sandymount, Dublin",1
"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay",1
Perth Stadium,1
Peter Burge Oval,-1
Pierre Werner Cricket Ground,1
Pokhara Rangasala,0
Prairie View Cricket Complex,1
Prem Tinsulanonda International School,-1
Providence Stadium,-1
"Providence Stadium, Guyana",1
Pukekura Park,1
"Pukekura Park, New Plymouth",1
Punjab Cricket Association IS Bindra Stadium,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",1
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1
"Punjab Cricket Association Stadium, Mohali",1
"Punjab Cricket Association Stadium, Mohali, Chandigarh",-1
Queen Elizabeth II Oval,1
Queen's Park,1
"Queen's Park (New), St George's, Grenada",-1
Queen's Park Oval,-1
"Queen's Park Oval, Port of Spain",-1
"Queen's Park Oval, Port of Spain, Trinidad",1
"Queen's Park Oval, Trinidad",-1
"Queen's Park, Chesterfield",1
"Queen's Park, Invercargill",-1
Queens Sports Club,-1
"Queens Sports Club, Bulawayo",-1
Queenstown Events Centre,-1
R Premadasa Stadium,-1
"R Premadasa Stadium, Colombo",1
R.Premadasa Stadium,-1
"R.Premadasa Stadium, Khettarama",-1
"Racecourse Ground, Derby",-1
Radlett Cricket Club,1
"Radlett Cricket Club, Radlett",-1
Rajiv Gandhi International Cricket Stadium,1
"Rajiv Gandhi International Cricket Stadium, Dehradun",-1
Rajiv Gandhi International Stadium,1
"Rajiv Gandhi International Stadium, Uppal",1
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1
Rangiri Dambulla International Stadium,-1
Rawalpindi Cricket Stadium,1
"Ray Mitchell Oval, Harrup Park, Mackay",-1
"Reforma Athletic Club, Naucalpan",1
Reliance Cricket Stadium,1
Reliance Stadium,-1
Riverside Ground,1
"Riverside Ground, Chester-le-Street",-1
"Riverway Stadium, Townsville",-1
Roma Cricket Ground,1
"Rookwood, Sale",-1
"Roseworth Terrace, Gosforth",-1
"Royal Brunswick Ground, Hove, Brighton",1
"Royal Brussels Cricket Club Ground, Waterloo",1
Royal Chiangmai Golf Club,-1
Royal Selangor Club,-1
"Royal Selangor Club, Kuala Lumpur",1
Ruaraka Sports Club Ground,-1
"Ruaraka Sports Club Ground, Nairobi",1
Rugby School Ground,-1
SSN College Ground,1
"Sabina Park, Jamaica",1
"Sabina Park, Kingston",-1
"Sabina Park, Kingston, Jamaica",-1
San Albano,0
Sano International Cricket Ground,1
Santarem Cricket Ground,1
Sao Fernando Polo and Cricket Club,1
"Sardar Patel (Gujarat) Stadium, Motera",-1
Sardar Patel Stadium,-1
"Sardar Patel Stadium, Motera",-1
